Planning Area,Subzone,Age Group,Type of Dwelling,2020
Total,Total,Total,Total,"4,044,210"
Total,Total,Total,Total HDB^,"3,152,410"
Total,Total,Total,1- and 2-Room Flats*,"177,360"
Total,Total,Total,3-Room Flats,"575,200"
Total,Total,Total,4-Room Flats,"1,338,370"
Total,Total,Total,5-Room and Executive Flats,"1,061,480"
Total,Total,Total,Condominiums and Other Apartments,"607,940"
Total,Total,Total,Landed Properties,"248,860"
Total,Total,Total,Others,"35,000"
Total,Total,0 - 4,Total,"183,080"
Total,Total,0 - 4,Total HDB^,"144,150"
Total,Total,0 - 4,1- and 2-Room Flats*,"7,980"
Total,Total,0 - 4,3-Room Flats,"19,000"
Total,Total,0 - 4,4-Room Flats,"70,910"
Total,Total,0 - 4,5-Room and Executive Flats,"46,260"
Total,Total,0 - 4,Condominiums and Other Apartments,"30,610"
Total,Total,0 - 4,Landed Properties,"7,780"
Total,Total,0 - 4,Others,540
Total,Total,5 - 9,Total,"198,740"
Total,Total,5 - 9,Total HDB^,"145,500"
Total,Total,5 - 9,1- and 2-Room Flats*,"7,200"
Total,Total,5 - 9,3-Room Flats,"19,800"
Total,Total,5 - 9,4-Room Flats,"65,610"
Total,Total,5 - 9,5-Room and Executive Flats,"52,890"
Total,Total,5 - 9,Condominiums and Other Apartments,"41,920"
Total,Total,5 - 9,Landed Properties,"10,560"
Total,Total,5 - 9,Others,770
Total,Total,10 - 14,Total,"206,390"
Total,Total,10 - 14,Total HDB^,"150,680"
Total,Total,10 - 14,1- and 2-Room Flats*,"7,740"
Total,Total,10 - 14,3-Room Flats,"21,840"
Total,Total,10 - 14,4-Room Flats,"61,230"
Total,Total,10 - 14,5-Room and Executive Flats,"59,870"
Total,Total,10 - 14,Condominiums and Other Apartments,"41,930"
Total,Total,10 - 14,Landed Properties,"12,990"
Total,Total,10 - 14,Others,790
Total,Total,15 - 19,Total,"215,230"
Total,Total,15 - 19,Total HDB^,"161,230"
Total,Total,15 - 19,1- and 2-Room Flats*,"8,310"
Total,Total,15 - 19,3-Room Flats,"23,350"
Total,Total,15 - 19,4-Room Flats,"63,890"
Total,Total,15 - 19,5-Room and Executive Flats,"65,690"
Total,Total,15 - 19,Condominiums and Other Apartments,"38,100"
Total,Total,15 - 19,Landed Properties,"15,010"
Total,Total,15 - 19,Others,900
Total,Total,20 - 24,Total,"244,540"
Total,Total,20 - 24,Total HDB^,"192,420"
Total,Total,20 - 24,1- and 2-Room Flats*,"9,930"
Total,Total,20 - 24,3-Room Flats,"27,460"
Total,Total,20 - 24,4-Room Flats,"78,950"
Total,Total,20 - 24,5-Room and Executive Flats,"76,090"
Total,Total,20 - 24,Condominiums and Other Apartments,"33,820"
Total,Total,20 - 24,Landed Properties,"17,050"
Total,Total,20 - 24,Others,"1,250"
Total,Total,25 - 29,Total,"287,000"
Total,Total,25 - 29,Total HDB^,"232,920"
Total,Total,25 - 29,1- and 2-Room Flats*,"9,920"
Total,Total,25 - 29,3-Room Flats,"35,220"
Total,Total,25 - 29,4-Room Flats,"103,470"
Total,Total,25 - 29,5-Room and Executive Flats,"84,320"
Total,Total,25 - 29,Condominiums and Other Apartments,"33,960"
Total,Total,25 - 29,Landed Properties,"18,900"
Total,Total,25 - 29,Others,"1,220"
Total,Total,30 - 34,Total,"297,800"
Total,Total,30 - 34,Total HDB^,"242,740"
